1555.26 0 1061.73 1555.26 887.528 0 0 0 0
10269 295 97798
19059 -12.6892 -28.4169 26.3521
19061 -10.0391 -22.4546 31.6446
19102 -12.9636 -28.5639 26.0399
19130 7.78659 -18.3544 36.8908
19203 11.3317 -29.8127 26.3076
19404 6.8007 -29.3167 26.7674
19454 -3.22106 -16.6319 37.1589
19474 5.92056 -29.4697 26.121
19491 4.80617 -19.3115 35.4542
19514 7.38997 -18.3645 36.9405
19609 -3.39115 -30.574 24.3581
19615 -4.16731 -30.5063 24.4183
19656 -18.7907 -14.1665 38.547
19736 -4.3654 -30.3897 23.9832
19756 -10.9561 -23.7742 30.457
19777 -11.6249 -27.988 26.8488
19794 3.63919 -21.586 33.398
19824 -11.3385 -23.9449 30.2538
19858 -18.6352 -13.8851 38.523
19873 5.54767 -21.9175 33.0375
19907 -3.79019 -25.219 29.6583
19948 12.2789 -18.8383 36.873
20002 -4.27477 -31.1203 24.0998
20026 13.0984 -13.9108 40.3869
20031 11.3833 -30.3662 25.7505
20063 -6.52646 -11.8931 41.2318
20078 -9.15594 -28.1984 26.845
20141 -12.7865 -20.7784 33.0119
20284 -7.31751 -11.6184 41.3212
20359 -3.48989 -31.2229 24.1532
20438 -9.55349 -28.1451 26.8133
20486 13.1114 -13.5147 40.7899
20559 -7.69396 -11.7988 41.4001
20572 -12.7204 -31.272 23.5136
20650 6.92797 -29.5931 26.2719
20668 4.9939 -18.0952 36.9753
20670 -4.09603 -25.6758 29.7963
20683 -12.64 -32.1738 22.7685
20698 -13.4491 -32.0714 22.8451
20702 -18.8927 -16.1084 37.3166
20721 4.77164 -17.8146 36.9682
20799 -13.1527 -31.9067 22.6937
20806 -11.1958 -24.5071 29.7205
20809 -12.6606 -31.9292 22.6634
20814 -8.28793 -24.7998 29.6605
20817 -8.54888 -24.7998 29.7065
20848 -4.11534 -25.1261 29.5996
20880 -11.4225 -23.1959 30.9735
20955 -11.2683 -23.4486 30.6996
21049 3.85983 -17.0817 37.6917
21056 4.61909 -17.1537 37.487
21139 12.7175 -26.1668 29.7314
21156 -3.31245 -29.0657 25.9978
21167 -8.85018 -28.2 26.7624
21201 -8.58474 -28.2678 26.826
21247 -8.34074 -28.2618 26.7976
21251 5.66714 -29.4562 26.094
21254 -12.0688 -32.1596 22.7964
21271 -11.1097 -24.2526 29.8816
21296 -12.4252 -32.3817 22.5329
21300 -8.82284 -24.6956 29.6148
21363 -8.72587 -28.6132 26.1926
21378 11.2146 -29.1536 27.9912
21384 5.66466 -17.7426 36.7496
21417 -19.0902 -20.2936 33.2345
21594 -9.83061 -28.1013 26.8033
21688 -8.2041 -28.6443 26.1959
21847 -2.86394 -24.6512 29.9538
21949 -19.3821 -20.3545 33.2391
21964 -4.48338 -25.1026 29.5595
21988 3.577 -25.1563 29.6342
22043 -11.5832 -24.2769 29.8819
22137 6.90412 -26.5518 29.4863
22164 -9.14797 -26.7405 28.4363
22264 -5.33354 -25.0166 29.4995
22359 -3.11393 -20.8559 33.3701
22409 -9.06876 -27.9279 26.5938
22449 12.832 -13.5255 40.9252
22539 -19.1732 -19.052 34.5994
22579 -15.7781 -29.3865 24.2004
22709 -9.77485 -24.625 29.5721
22840 -13.2288 -31.2674 23.5776
